0,Product,0,0.4781,45825,0,,Ľubica Pavíleková byť srobovacia a tesniť dobre
1,Neutral,0,0.3827,45825,0,,https://www.facebook.com/groups/1861950653866488/
2,Neutral,1,0.4546,45825,0,,"Veronika Hormuzache z pepco za 1,29 bez BPA ? 😉 to ťažko"
3,Product,0,0.2858,45825,0,,jogurt dóza e s tesnenie ?
4,Neutral,0,0.5664,45825,0,,aký byť to plast ? nevedieť čí byť BPA free ?
5,Product,1,0.9937,45882,0,,mam pekný tirkisove A byť super
6,Neutral,0,0.7723,45882,1,,dobrý deň Erika od 10.1. všetko z leták už nájsť v predajňa priať pekný deň tím EPPCO
7,Neutral,0,0.332,45882,0,,už byť obchod ?
8,Neutral,0,0.9938,46203,1,,dobrý deň Iveta aktuálne v PEPCO nájsť mnoho krásny rámik aj sviečka prísť si vybrať do predajňa PEPCO 😉 priať pekný deň tím PEPCO
9,Product,1,0.6402,46310,0,,pekný tričko
10,Product,0,0.3827,46310,0,,Mikina na Valentín ?
11,Neutral,2,0.9378,46310,1,,dobrý deň Štefi veriť že už čoskoro akonáhle búda všetok pripravený dátum otvorenie nájsť na nasiať stránka alebo tu na Facebooku 😉 priať pekný deň tím PEPCO
12,Neutral,1,0.3272,46310,0,,kedy sa prosiť otvárať nový predajňa Pepco v OC Max v Trnava ?
13,Product,1,0.9125,46310,0,,vy mať tak super vec rada u vy nakupovať
14,Interaction,1,0.5,48279,0,,💓
15,Neutral,0,0.6940000000000001,45882,1,,dobrý deň Blanka box na pečivo aktuálne nemať v leták preto nevedieť zistiť či na niektorý predajňa nie byť zásobovanie byť riadene centrálny z Poľsko a preto nemať informácia o tovar plánovaný na doručenie rovnako ako to nevedieť náš predajňa ďakovať za porozumenie a priať pekný deň tím PEPCO
16,Offer of products,0,0.3219,45882,0,,A náhodou box na pečivo mať nebyť ?
17,Interaction,0,0.7938,48345,0,,😊
18,Product,1,0.8164,45908,0,,Maiky Hajnuk a masa
19,Neutral,0,0.5258,48481,0,,ja zaujímať to kreslo
20,Product,1,0.5649,48524,0,,oba byť super
21,Interaction,0,0.3827,45923,0,,mať aj 128
22,Offer of products,4,0.1741,45923,0,,málokde dostať veľkosť 128.. všade sám 98 104
23,Unavailability of products,1,0.7463,45924,0,,áno páčiť sa len keby byť aj na predajňa a dať sa kúpiť
24,Unavailability of products,0,0.0853,45923,0,,Eva Repašanová aspoň 3ks ja byť nenájsť žiaden
25,Product,1,0.3827,45924,0,,luxusný
26,Neutral,1,0.4236,45924,1,,dobrý deň byť my ľúto ak byť v predajňa nenájsť niektorý typ tovar z náš leták distribúcia tovar byť riadený centrálne z Poľsko a preto sa môcť sťať že niektorý druh tovar na predajňa zo začiatok chýbať a byť doručený neskoro intenzívne pracovať na zlepšenie a veriť že sa my podariť podobne situácia úplne eliminovať ďakovať za porozumenie a priať pekný deň tím PEPCO
27,Product,1,0.8164,45924,0,,byť krááásne
28,Product,1,0.8574,45924,0,,nádherný 😍
29,Product,1,0.4387,48524,0,,oba
30,Neutral,1,0.5,48524,0,,c 2
31,Product,0,0.2667,45923,0,,Renáta Čarnogurská ísť 😂😂😂
32,Unavailability of products,0,0.3812,45923,0,,dnes byť byť v tn a nemalý
33,Interaction,4,0.4827,45923,0,,dievča ja včera unesený že aký zľava v Poľsko v pepcu ato aj tu to ja byť stretnúť 128 no chcieť byť 140 ale keď byť už výpredaj tak náš tam nebyť čakať všetok farba a veľkosť ja byť byť prepkapena že sa ja dostať 146 152 pekný večer
34,Offer of products,1,0.3812,45923,0,,a pre kto sa vzťahovať keď nemať ani 128 ?
35,Offer of products,0,0.4929,45992,0,,áno súhlasiť aj veľký číslo by bodnúť
36,Offer of products,0,0.716,45992,0,,áno súhlas 😊
37,Offer of products,0,0.5974,45992,0,,áno súhlasiť všetok malinký košík a obvod
38,Neutral,2,0.2175,45992,0,,ja byť myslieť ale toto prádlo
39,Neutral,0,0.0789,45992,0,,odkedy platiť ? ?
40,Product,3,0.3827,45993,0,,Ľubomír Kejsy Krajnák ako pre náš 💏
