51071,"[""Neutral"", ""Problémy s produktov"", ""Problémy s produktov""]"
51073,"[""Ponuka produktov"", ""Interakcia"", ""Interakcia"", ""Ponuka produktov"", ""Pobočka"", ""Ponuka produktov"", ""Pobočka"", ""Odpovede"", ""Odpovede"", ""Ponuka produktov"", ""Otázky"", ""Odpovede"", ""Odpovede"", ""Neutral"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Neutral"", ""Neutral"", ""Neutral"", ""Odpovede"", ""Neutral"", ""Pobočka"", ""Ponuka produktov"", ""Pobočka"", ""Ponuka produktov"", ""Neutral"", ""Interakcia"", ""Odpovede"", ""Cena produktov / benefity"", ""Odpovede"", ""Neutral"", ""Odpovede"", ""Produkt""]"
51074,"[""Neutral"", ""Otázky"", ""Odpovede""]"
51076,"[""Odpovede"", ""Odpovede"", ""Odpovede"", ""Problémy s produktov"", ""Problémy s produktov"", ""Ponuka produktov"", ""Neutral"", ""Ponuka produktov"", ""Neutral"", ""Neutral"", ""Problémy s produktov"", ""Odpovede"", ""Ponuka produktov"", ""Odpovede"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Odpovede"", ""Problémy s produktov"", ""Neutral"", ""Otázky"", ""Problémy s produktov"", ""Problémy s produktov"", ""Produkt"", ""Produkt"", ""Produkt"", ""Produkt"", ""Produkt"", ""Odpovede"", ""Produkt"", ""Ponuka produktov"", ""Produkt"", ""Produkt"", ""Interakcia"", ""Produkt"", ""Produkt"", ""Produkt"", ""Odpovede"", ""Produkt"", ""Produkt"", ""Problémy s produktov"", ""Ponuka produktov"", ""Problémy s produktov"", ""Odpovede"", ""Neutral"", ""Odpovede"", ""Odpovede"", ""Odpovede"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Cena produktov / benefity"", ""Problémy s produktov"", ""Ponuka produktov"", ""Odpovede"", ""Problémy s produktov"", ""Ponuka produktov"", ""Cena produktov / benefity"", ""Odpovede"", ""Ponuka produktov"", ""Ponuka produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Ponuka produktov"", ""Otázky"", ""Ponuka produktov"", ""Odpovede"", ""Odpovede"", ""Otázky"", ""Produkt"", ""Odpovede"", ""Odpovede"", ""Ponuka produktov"", ""Problémy s produktov"", ""Ponuka produktov"", ""Cena produktov / benefity"", ""Produkt"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Problémy s produktov"", ""Odpovede"", ""Odpovede""]"
51092,"[""Otázky"", ""Odpovede"", ""Otázky"", ""Odpovede""]"
51094,"[""Interakcia"", ""Interakcia"", ""Interakcia"", ""Ostatné"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia""]"
51095,"[""Odpovede""]"
51096,"[""Odpovede"", ""Neutral""]"
51097,"[""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia""]"
51147,"[""Problémy s produktom"", ""Problémy s produktom"", ""Problémy s produktom"", ""Odpovede"", ""Problémy s produktom"", ""Problémy s produktom""]"
51170,"[""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Odpovede"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Ponuka produktov"", ""Problémy s produktom"", ""Ponuka produktov"", ""Problémy s produktom"", ""Ponuka produktov"", ""Ponuka produktov"", ""Neutral"", ""Problémy s produktom"", ""Ponuka produktov"", ""Ponuka produktov"", ""Problémy s produktom"", ""Ponuka produktov"", ""Ponuka produktov"", ""Problémy s produktom"", ""Ponuka produktov""]"
51239,"[""Ponuka produktov"", ""Neutral"", ""Neutral"", ""Ponuka produktov"", ""Ponuka produktov""]"
51278,"[""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia"", ""Interakcia""]"
